Week_Ending_Date,Race and Ethnicity,Vaccination Coverage Status,Pregnancy Status at Vaccination,Vaccination Coverage Percentage (%),Denominator,Date Order,Race Sort Order,Visual Figure Number,Pregnancy Vaccination Order
07/31/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,"103,746",,1,1,2
08/07/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,"103,612",,1,1,2
08/14/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,"103,349",,1,1,2
08/21/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,"103,173",,1,1,2
08/28/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.4,"102,762",,1,1,2
09/04/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.5,"102,509",,1,1,2
09/11/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.6,"102,196",,1,1,2
09/18/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.6,"102,038",,1,1,2
09/25/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.8,"101,757",,1,1,2
10/02/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.8,"101,559",,1,1,2
10/09/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.8,"101,430",,1,1,2
10/16/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.8,"101,314",,1,1,2
10/23/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.8,"101,246",,1,1,2
10/30/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.7,"101,207",,1,1,2
11/06/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.6,"101,361",,1,1,2
11/13/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.5,"101,487",,1,1,2
11/20/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.4,"101,537",,1,1,2
11/27/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,"101,778",,1,1,2
12/04/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,"102,108",,1,1,2
12/11/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.1,"101,925",,1,1,2
12/18/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.9,"102,046",,1,1,2
12/25/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.8,"101,941",,1,1,2
01/01/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.6,"102,144",,1,1,2
01/08/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.3,"102,176",,1,1,2
01/15/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.2,"102,140",,1,1,2
01/22/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3,"102,076",,1,1,2
01/29/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.7,"102,185",,1,1,2
02/05/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.5,"102,404",,1,1,2
02/12/2022,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.3,"102,318",,1,1,2
12/25/2021,All Races/Ethnicity,Fully Vaccinated,Any,68.3,"101,941",,1,2,NULL
01/01/2022,All Races/Ethnicity,Fully Vaccinated,Any,68.7,"102,144",,1,2,NULL
01/08/2022,All Races/Ethnicity,Fully Vaccinated,Any,69,"102,176",,1,2,NULL
01/15/2022,All Races/Ethnicity,Fully Vaccinated,Any,69.4,"102,140",,1,2,NULL
01/22/2022,All Races/Ethnicity,Fully Vaccinated,Any,69.7,"102,076",,1,2,NULL
01/29/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.1,"102,185",,1,2,NULL
02/05/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.4,"102,404",,1,2,NULL
02/12/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.7,"102,318",,1,2,NULL
02/19/2022,All Races/Ethnicity,Fully Vaccinated,Any,70.8,"102,158",,1,2,NULL
09/04/2021,"Black, NH",Fully Vaccinated,Any,30.9,"7,541",,3,2,NULL
09/11/2021,"Black, NH",Fully Vaccinated,Any,33.2,"7,503",,3,2,NULL
09/18/2021,"Black, NH",Fully Vaccinated,Any,34.9,"7,472",,3,2,NULL
09/25/2021,"Black, NH",Fully Vaccinated,Any,37.2,"7,455",,3,2,NULL
10/02/2021,"Black, NH",Fully Vaccinated,Any,38.8,"7,455",,3,2,NULL
10/09/2021,"Black, NH",Fully Vaccinated,Any,40.5,"7,452",,3,2,NULL
10/16/2021,"Black, NH",Fully Vaccinated,Any,41.7,"7,462",,3,2,NULL
10/23/2021,"Black, NH",Fully Vaccinated,Any,43.2,"7,467",,3,2,NULL
10/30/2021,"Black, NH",Fully Vaccinated,Any,44.7,"7,468",,3,2,NULL
11/06/2021,"Black, NH",Fully Vaccinated,Any,46,"7,532",,3,2,NULL
02/26/2022,All Races/Ethnicity,Fully Vaccinated,Any,71,"102,250",,1,2,NULL
03/05/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.1,"102,305",,1,2,NULL
03/12/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.2,"102,234",,1,2,NULL
03/19/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"102,132",,1,2,NULL
03/26/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"102,044",,1,2,NULL
04/02/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"101,916",,1,2,NULL
04/09/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"101,836",,1,2,NULL
04/16/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"101,844",,1,2,NULL
04/23/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"101,838",,1,2,NULL
04/30/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,818",,1,2,NULL
05/07/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,806",,1,2,NULL
05/14/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,657",,1,2,NULL
05/21/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,596",,1,2,NULL
05/28/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,453",,1,2,NULL
06/04/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.8,"101,248",,1,2,NULL
06/11/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.8,"101,227",,1,2,NULL
06/18/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,178",,1,2,NULL
06/25/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,270",,1,2,NULL
07/02/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,364",,1,2,NULL
07/09/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,381",,1,2,NULL
07/16/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,607",,1,2,NULL
07/23/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,548",,1,2,NULL
07/30/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"101,475",,1,2,NULL
08/06/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"101,515",,1,2,NULL
08/13/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"101,408",,1,2,NULL
08/20/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"101,419",,1,2,NULL
08/27/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"101,347",,1,2,NULL
09/03/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"101,149",,1,2,NULL
09/10/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"100,842",,1,2,NULL
09/17/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"100,832",,1,2,NULL
09/24/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"100,885",,1,2,NULL
10/01/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"100,903",,1,2,NULL
10/08/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"101,037",,1,2,NULL
10/15/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"101,436",,1,2,NULL
10/22/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"101,932",,1,2,NULL
10/29/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"102,400",,1,2,NULL
11/05/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"102,759",,1,2,NULL
11/12/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"102,937",,1,2,NULL
11/19/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"103,142",,1,2,NULL
11/26/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"102,794",,1,2,NULL
12/03/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"102,932",,1,2,NULL
12/10/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"102,461",,1,2,NULL
12/17/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"102,445",,1,2,NULL
12/24/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"102,294",,1,2,NULL
12/31/2022,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"102,051",,1,2,NULL
01/07/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"102,268",,1,2,NULL
01/14/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"102,234",,1,2,NULL
01/21/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"102,047",,1,2,NULL
01/28/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"101,871",,1,2,NULL
02/04/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"101,644",,1,2,NULL
02/11/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"101,282",,1,2,NULL
02/18/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.4,"100,858",,1,2,NULL
02/25/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"100,257",,1,2,NULL
03/04/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"99,665",,1,2,NULL
03/11/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"98,855",,1,2,NULL
03/18/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.5,"97,960",,1,2,NULL
03/25/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"96,831",,1,2,NULL
04/01/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"95,338",,1,2,NULL
04/08/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"93,718",,1,2,NULL
04/15/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"91,606",,1,2,NULL
11/13/2021,"Black, NH",Fully Vaccinated,Any,47.2,"7,531",,3,2,NULL
11/20/2021,"Black, NH",Fully Vaccinated,Any,48,"7,518",,3,2,NULL
11/27/2021,"Black, NH",Fully Vaccinated,Any,49,"7,558",,3,2,NULL
12/04/2021,"Black, NH",Fully Vaccinated,Any,49.9,"7,603",,3,2,NULL
12/11/2021,"Black, NH",Fully Vaccinated,Any,50.4,"7,565",,3,2,NULL
12/18/2021,"Black, NH",Fully Vaccinated,Any,51.2,"7,519",,3,2,NULL
12/25/2021,"Black, NH",Fully Vaccinated,Any,51.7,"7,475",,3,2,NULL
01/01/2022,"Black, NH",Fully Vaccinated,Any,52.5,"7,476",,3,2,NULL
01/08/2022,"Black, NH",Fully Vaccinated,Any,53.2,"7,508",,3,2,NULL
01/15/2022,"Black, NH",Fully Vaccinated,Any,53.8,"7,508",,3,2,NULL
01/22/2022,"Black, NH",Fully Vaccinated,Any,54.3,"7,453",,3,2,NULL
01/29/2022,"Black, NH",Fully Vaccinated,Any,54.8,"7,472",,3,2,NULL
02/05/2022,"Black, NH",Fully Vaccinated,Any,55.4,"7,478",,3,2,NULL
02/12/2022,"Black, NH",Fully Vaccinated,Any,56,"7,479",,3,2,NULL
02/19/2022,"Black, NH",Fully Vaccinated,Any,56.2,"7,483",,3,2,NULL
02/26/2022,"Black, NH",Fully Vaccinated,Any,56.8,"7,502",,3,2,NULL
03/05/2022,"Black, NH",Fully Vaccinated,Any,57,"7,492",,3,2,NULL
03/12/2022,"Black, NH",Fully Vaccinated,Any,57.2,"7,501",,3,2,NULL
03/19/2022,"Black, NH",Fully Vaccinated,Any,57.6,"7,496",,3,2,NULL
03/26/2022,"Black, NH",Fully Vaccinated,Any,58.1,"7,514",,3,2,NULL
04/02/2022,"Black, NH",Fully Vaccinated,Any,58.4,"7,472",,3,2,NULL
04/09/2022,"Black, NH",Fully Vaccinated,Any,58.6,"7,434",,3,2,NULL
04/16/2022,"Black, NH",Fully Vaccinated,Any,58.7,"7,423",,3,2,NULL
04/23/2022,"Black, NH",Fully Vaccinated,Any,58.6,"7,432",,3,2,NULL
04/30/2022,"Black, NH",Fully Vaccinated,Any,58.6,"7,454",,3,2,NULL
05/07/2022,"Black, NH",Fully Vaccinated,Any,58.6,"7,486",,3,2,NULL
05/14/2022,"Black, NH",Fully Vaccinated,Any,58.6,"7,478",,3,2,NULL
05/21/2022,"Black, NH",Fully Vaccinated,Any,58.7,"7,474",,3,2,NULL
05/28/2022,"Black, NH",Fully Vaccinated,Any,58.9,"7,481",,3,2,NULL
06/04/2022,"Black, NH",Fully Vaccinated,Any,58.9,"7,472",,3,2,NULL
06/11/2022,"Black, NH",Fully Vaccinated,Any,58.8,"7,483",,3,2,NULL
06/18/2022,"Black, NH",Fully Vaccinated,Any,58.6,"7,477",,3,2,NULL
06/25/2022,"Black, NH",Fully Vaccinated,Any,58.6,"7,479",,3,2,NULL
07/02/2022,"Black, NH",Fully Vaccinated,Any,58.5,"7,464",,3,2,NULL
07/09/2022,"Black, NH",Fully Vaccinated,Any,58.5,"7,467",,3,2,NULL
07/16/2022,"Black, NH",Fully Vaccinated,Any,58.5,"7,511",,3,2,NULL
07/23/2022,"Black, NH",Fully Vaccinated,Any,58.3,"7,471",,3,2,NULL
07/30/2022,"Black, NH",Fully Vaccinated,Any,58.6,"7,452",,3,2,NULL
08/06/2022,"Black, NH",Fully Vaccinated,Any,58.4,"7,432",,3,2,NULL
08/13/2022,"Black, NH",Fully Vaccinated,Any,58.4,"7,392",,3,2,NULL
08/20/2022,"Black, NH",Fully Vaccinated,Any,58.2,"7,401",,3,2,NULL
08/27/2022,"Black, NH",Fully Vaccinated,Any,58.1,"7,398",,3,2,NULL
09/03/2022,"Black, NH",Fully Vaccinated,Any,57.9,"7,390",,3,2,NULL
09/10/2022,"Black, NH",Fully Vaccinated,Any,57.8,"7,407",,3,2,NULL
09/17/2022,"Black, NH",Fully Vaccinated,Any,58,"7,410",,3,2,NULL
09/24/2022,"Black, NH",Fully Vaccinated,Any,58,"7,425",,3,2,NULL
10/01/2022,"Black, NH",Fully Vaccinated,Any,58,"7,444",,3,2,NULL
10/08/2022,"Black, NH",Fully Vaccinated,Any,58.1,"7,467",,3,2,NULL
10/15/2022,"Black, NH",Fully Vaccinated,Any,58.2,"7,527",,3,2,NULL
10/22/2022,"Black, NH",Fully Vaccinated,Any,58.2,"7,544",,3,2,NULL
10/29/2022,"Black, NH",Fully Vaccinated,Any,58.5,"7,561",,3,2,NULL
11/05/2022,"Black, NH",Fully Vaccinated,Any,59,"7,584",,3,2,NULL
11/12/2022,"Black, NH",Fully Vaccinated,Any,59,"7,633",,3,2,NULL
11/19/2022,"Black, NH",Fully Vaccinated,Any,59.3,"7,643",,3,2,NULL
11/26/2022,"Black, NH",Fully Vaccinated,Any,59.3,"7,601",,3,2,NULL
12/03/2022,"Black, NH",Fully Vaccinated,Any,59.1,"7,616",,3,2,NULL
12/10/2022,"Black, NH",Fully Vaccinated,Any,59.3,"7,573",,3,2,NULL
12/17/2022,"Black, NH",Fully Vaccinated,Any,59,"7,588",,3,2,NULL
12/24/2022,"Black, NH",Fully Vaccinated,Any,58.9,"7,561",,3,2,NULL
12/31/2022,"Black, NH",Fully Vaccinated,Any,59,"7,503",,3,2,NULL
01/07/2023,"Black, NH",Fully Vaccinated,Any,58.9,"7,533",,3,2,NULL
01/14/2023,"Black, NH",Fully Vaccinated,Any,58.8,"7,531",,3,2,NULL
01/21/2023,"Black, NH",Fully Vaccinated,Any,58.7,"7,510",,3,2,NULL
01/28/2023,"Black, NH",Fully Vaccinated,Any,58.6,"7,501",,3,2,NULL
04/08/2023,"Black, NH",Fully Vaccinated,Any,58.8,"6,750",,3,2,NULL
04/15/2023,"Black, NH",Fully Vaccinated,Any,58.8,"6,573",,3,2,NULL
04/22/2023,"Black, NH",Fully Vaccinated,Any,59,"6,385",,3,2,NULL
04/29/2023,"Black, NH",Fully Vaccinated,Any,59.1,"6,179",,3,2,NULL
05/06/2023,"Black, NH",Fully Vaccinated,Any,59.2,"5,932",,3,2,NULL
05/13/2023,"Black, NH",Fully Vaccinated,Any,59.2,"5,682",,3,2,NULL
05/20/2023,"Black, NH",Fully Vaccinated,Any,59.3,"5,439",,3,2,NULL
05/27/2023,"Black, NH",Fully Vaccinated,Any,59.2,"5,187",,3,2,NULL
06/03/2023,"Black, NH",Fully Vaccinated,Any,59.2,"4,935",,3,2,NULL
12/19/2020,Hispanic/Latino,Fully Vaccinated,Any,0,"34,864",,4,2,NULL
12/26/2020,Hispanic/Latino,Fully Vaccinated,Any,0,"35,095",,4,2,NULL
01/02/2021,Hispanic/Latino,Fully Vaccinated,Any,0,"35,320",,4,2,NULL
01/09/2021,Hispanic/Latino,Fully Vaccinated,Any,0.1,"35,486",,4,2,NULL
01/16/2021,Hispanic/Latino,Fully Vaccinated,Any,0.3,"35,628",,4,2,NULL
01/23/2021,Hispanic/Latino,Fully Vaccinated,Any,0.6,"35,658",,4,2,NULL
01/30/2021,Hispanic/Latino,Fully Vaccinated,Any,1,"35,813",,4,2,NULL
02/06/2021,Hispanic/Latino,Fully Vaccinated,Any,1.6,"35,965",,4,2,NULL
02/13/2021,Hispanic/Latino,Fully Vaccinated,Any,2.5,"36,030",,4,2,NULL
02/20/2021,Hispanic/Latino,Fully Vaccinated,Any,3.3,"36,108",,4,2,NULL
02/27/2021,Hispanic/Latino,Fully Vaccinated,Any,3.9,"36,162",,4,2,NULL
03/06/2021,Hispanic/Latino,Fully Vaccinated,Any,4.5,"36,291",,4,2,NULL
03/13/2021,Hispanic/Latino,Fully Vaccinated,Any,5.2,"36,372",,4,2,NULL
03/20/2021,Hispanic/Latino,Fully Vaccinated,Any,6.5,"36,464",,4,2,NULL
03/27/2021,Hispanic/Latino,Fully Vaccinated,Any,8.1,"36,513",,4,2,NULL
04/03/2021,Hispanic/Latino,Fully Vaccinated,Any,9.9,"36,542",,4,2,NULL
04/10/2021,Hispanic/Latino,Fully Vaccinated,Any,12.1,"36,691",,4,2,NULL
04/17/2021,Hispanic/Latino,Fully Vaccinated,Any,14.5,"36,804",,4,2,NULL
04/24/2021,Hispanic/Latino,Fully Vaccinated,Any,17.2,"36,830",,4,2,NULL
05/01/2021,Hispanic/Latino,Fully Vaccinated,Any,19.7,"36,830",,4,2,NULL
05/08/2021,Hispanic/Latino,Fully Vaccinated,Any,22.1,"36,846",,4,2,NULL
05/15/2021,Hispanic/Latino,Fully Vaccinated,Any,24.5,"36,877",,4,2,NULL
05/22/2021,Hispanic/Latino,Fully Vaccinated,Any,26.6,"36,893",,4,2,NULL
05/29/2021,Hispanic/Latino,Fully Vaccinated,Any,28.4,"36,919",,4,2,NULL
06/05/2021,Hispanic/Latino,Fully Vaccinated,Any,30,"36,864",,4,2,NULL
06/12/2021,Hispanic/Latino,Fully Vaccinated,Any,31.6,"36,939",,4,2,NULL
06/19/2021,Hispanic/Latino,Fully Vaccinated,Any,33,"37,028",,4,2,NULL
06/26/2021,Hispanic/Latino,Fully Vaccinated,Any,34.3,"37,001",,4,2,NULL
07/03/2021,Hispanic/Latino,Fully Vaccinated,Any,35.4,"36,890",,4,2,NULL
07/10/2021,Hispanic/Latino,Fully Vaccinated,Any,36.6,"36,880",,4,2,NULL
07/17/2021,Hispanic/Latino,Fully Vaccinated,Any,37.6,"36,853",,4,2,NULL
07/24/2021,Hispanic/Latino,Fully Vaccinated,Any,38.8,"36,820",,4,2,NULL
07/31/2021,Hispanic/Latino,Fully Vaccinated,Any,39.7,"36,835",,4,2,NULL
08/07/2021,Hispanic/Latino,Fully Vaccinated,Any,40.9,"36,787",,4,2,NULL
08/14/2021,Hispanic/Latino,Fully Vaccinated,Any,42.2,"36,692",,4,2,NULL
08/21/2021,Hispanic/Latino,Fully Vaccinated,Any,43.6,"36,630",,4,2,NULL
08/28/2021,Hispanic/Latino,Fully Vaccinated,Any,45.2,"36,495",,4,2,NULL
09/04/2021,Hispanic/Latino,Fully Vaccinated,Any,46.9,"36,355",,4,2,NULL
09/11/2021,Hispanic/Latino,Fully Vaccinated,Any,48.9,"36,272",,4,2,NULL
09/18/2021,Hispanic/Latino,Fully Vaccinated,Any,51.3,"36,171",,4,2,NULL
09/25/2021,Hispanic/Latino,Fully Vaccinated,Any,53.4,"36,083",,4,2,NULL
10/02/2021,Hispanic/Latino,Fully Vaccinated,Any,55.2,"36,007",,4,2,NULL
10/09/2021,Hispanic/Latino,Fully Vaccinated,Any,56.6,"35,948",,4,2,NULL
10/16/2021,Hispanic/Latino,Fully Vaccinated,Any,57.9,"35,901",,4,2,NULL
10/23/2021,Hispanic/Latino,Fully Vaccinated,Any,59.2,"35,958",,4,2,NULL
10/30/2021,Hispanic/Latino,Fully Vaccinated,Any,60.3,"35,982",,4,2,NULL
11/06/2021,Hispanic/Latino,Fully Vaccinated,Any,61.3,"36,117",,4,2,NULL
11/13/2021,Hispanic/Latino,Fully Vaccinated,Any,62,"36,198",,4,2,NULL
11/20/2021,Hispanic/Latino,Fully Vaccinated,Any,62.7,"36,313",,4,2,NULL
11/27/2021,Hispanic/Latino,Fully Vaccinated,Any,63.2,"36,427",,4,2,NULL
12/04/2021,Hispanic/Latino,Fully Vaccinated,Any,63.9,"36,615",,4,2,NULL
12/11/2021,Hispanic/Latino,Fully Vaccinated,Any,64.5,"36,592",,4,2,NULL
12/18/2021,Hispanic/Latino,Fully Vaccinated,Any,65,"36,693",,4,2,NULL
12/25/2021,Hispanic/Latino,Fully Vaccinated,Any,65.6,"36,658",,4,2,NULL
01/01/2022,Hispanic/Latino,Fully Vaccinated,Any,66,"36,753",,4,2,NULL
01/08/2022,Hispanic/Latino,Fully Vaccinated,Any,66.4,"36,790",,4,2,NULL
01/15/2022,Hispanic/Latino,Fully Vaccinated,Any,66.9,"36,740",,4,2,NULL
01/22/2022,Hispanic/Latino,Fully Vaccinated,Any,67.4,"36,745",,4,2,NULL
01/29/2022,Hispanic/Latino,Fully Vaccinated,Any,67.9,"36,755",,4,2,NULL
02/05/2022,Hispanic/Latino,Fully Vaccinated,Any,68.3,"36,819",,4,2,NULL
02/12/2022,Hispanic/Latino,Fully Vaccinated,Any,68.8,"36,751",,4,2,NULL
02/19/2022,Hispanic/Latino,Fully Vaccinated,Any,69,"36,763",,4,2,NULL
02/26/2022,Hispanic/Latino,Fully Vaccinated,Any,69.2,"36,860",,4,2,NULL
03/05/2022,Hispanic/Latino,Fully Vaccinated,Any,69.4,"36,974",,4,2,NULL
03/12/2022,Hispanic/Latino,Fully Vaccinated,Any,69.6,"37,055",,4,2,NULL
03/19/2022,Hispanic/Latino,Fully Vaccinated,Any,69.8,"36,964",,4,2,NULL
03/26/2022,Hispanic/Latino,Fully Vaccinated,Any,70,"36,954",,4,2,NULL
04/02/2022,Hispanic/Latino,Fully Vaccinated,Any,70.1,"36,949",,4,2,NULL
04/09/2022,Hispanic/Latino,Fully Vaccinated,Any,70.2,"36,981",,4,2,NULL
04/16/2022,Hispanic/Latino,Fully Vaccinated,Any,70.3,"37,009",,4,2,NULL
04/23/2022,Hispanic/Latino,Fully Vaccinated,Any,70.4,"37,073",,4,2,NULL
04/30/2022,Hispanic/Latino,Fully Vaccinated,Any,70.5,"37,071",,4,2,NULL
05/07/2022,Hispanic/Latino,Fully Vaccinated,Any,70.6,"37,101",,4,2,NULL
